Movie	Released on	URL	Word	Count
Love In Tokyo (1966)	1966	https://www.lyricsbogie.com/movies/love-in-tokyo-1966/japan-love-tokyo.html	gori	4
Kachchi Sadak (2006)	2006	https://www.lyricsbogie.com/movies/kachchi-sadak-2006/humgama-hungama.html	gora	6
Sargam (1950)	1950	https://www.lyricsbogie.com/movies/sargam-1950/main-hoon-alladin.html	gore	1
Teesri Kasam (1967)	1967	https://www.lyricsbogie.com/movies/teesri-kasam-1967/laali-laali-doliyaa-men-laali-re-dulhaniyaa.html	goriyaa	1
Amaanat (1994)	1994	https://www.lyricsbogie.com/movies/amaanat-1994/din-mein-leti-hai.html	gori	2
Zara Bachke (1959)	1959	https://www.lyricsbogie.com/movies/zara-bachke-1959/aisa-laga-hai-teere-nazar.html	gori	3
Via Darjeeling (2008)	2008	https://www.lyricsbogie.com/movies/via-darjeeling-2008/sirf-ehsaas.html	gori	1
Gautam Govinda (2002)	2002	https://www.lyricsbogie.com/movies/gautam-govinda-2002/current-mare-hai.html	gora	2
The Don (1995)	1995	https://www.lyricsbogie.com/movies/the-don-1995/rajai-ma-to-garmi-lage.html	gori	2
Balwinder Singh Famous Ho Gaya (2014)	2014	https://www.lyricsbogie.com/movies/balwinder-singh-famous-ho-gaya-2014/kaun-samjhaye.html	gori	1
Kimiagar (1936)	1936	https://www.lyricsbogie.com/movies/kimiagar-1936/baanke-sainya-ne-bainya.html	gori	4
Chahoonga Main Tujhe (1993)	1993	https://www.lyricsbogie.com/movies/chahoonga-main-tujhe-1993/jaao-logon-jaao.html	gori	1
Khubsurat (1952)	1952	https://www.lyricsbogie.com/movies/khubsurat-1952/beech-bajariya-mori-chunariya.html	gora	4
Sangram (1950)	1950	https://www.lyricsbogie.com/movies/sangram-1950/ulfat-ke-jadu-ka.html	gore	2
Akhiyon Se Goli Maare (2002)	2002	https://www.lyricsbogie.com/movies/akhiyon-se-goli-maare-2002/o-chhori-gori-gori.html	gori	8
Vallah Kya Baat Hai (1962)	1962	https://www.lyricsbogie.com/movies/vallah-kya-baat-hai-1962/kanton-ke-saaye-mein.html	gori	2
Priyanka (1994)	1994	https://www.lyricsbogie.com/movies/priyanka-1994/thoda-thoda-pyar-ho-gaya.html	gore	1
Oonchi Haveli (1955)	1955	https://www.lyricsbogie.com/movies/oonchi-haveli-1955/gaav-gaav-mein.html	gori	1
Pyaara Dushman (1980)	1980	https://www.lyricsbogie.com/movies/pyaara-dushman-1980/hey-goriyaa-hamen-jeena.html	goriyaa	12
Pyaara Dushman (1980)	1980	https://www.lyricsbogie.com/movies/pyaara-dushman-1980/hey-goriyaa-hamen-jeena.html	goraa	2
Pyaara Dushman (1980)	1980	https://www.lyricsbogie.com/movies/pyaara-dushman-1980/hey-goriyaa-hamen-jeena.html	goriya	1
Jahan Sati Wahan Bhagwan (1965)	1965	https://www.lyricsbogie.com/movies/jahan-sati-wahan-bhagwan-1965/din-bite-ladakpan-ke.html	gore	2
Munimji (1972)	1972	https://www.lyricsbogie.com/movies/munimji-1972/pani-mein-jale-mera.html	gora	7
Love In Nepal (2004)	2004	https://www.lyricsbogie.com/movies/love-in-nepal-2004/katra-katra.html	gori	2
Ham Sab Chor Hain (1956)	1956	https://www.lyricsbogie.com/movies/ham-sab-chor-hain-1956/gudiya-tere-raaj-me.html	gori	1
Saathi (1968)	1968	https://www.lyricsbogie.com/movies/saathi-1968/roshan-ho-gai-mahfil-kiske-naam-se.html	gori	1
Pyaar Ka Rishta (1973)	1973	https://www.lyricsbogie.com/movies/pyaar-ka-rishta-1973/haaye-haaye-dukhi-jaye-mori.html	gora	2
Sabse Bada Rupaiya (1955)	1955	https://www.lyricsbogie.com/movies/sabse-bada-rupaiya-1955/bol-re-munna-duniya-mein-hai.html	gora	2
Meri Padosan (2009)	2009	https://www.lyricsbogie.com/movies/meri-padosan-2009/aaja-mere-sang-khelle-holi.html	gora	1
Bhagwan Samaye Sansar Mein (1976)	1976	https://www.lyricsbogie.com/movies/bhagwan-samaye-sansar-mein-1976/oh-bairagi-ban-anuragi.html	gori	4
Yeh Lamhe Judaai Ke (2004)	2009	https://www.lyricsbogie.com/movies/yeh-lamhe-judaai-ke-2004/teriyan-mohabattan.html	gori	2
Sangdil (1952)	1952	https://www.lyricsbogie.com/movies/sangdil-1952/dharati-se-dur.html	gore	4
